City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,dwarka,22.2394,68.9678,300.39,77,35,4.68,IN,1726949317
315,port saint john's,-31.6229,29.5448,287.79,82,91,1.84,ZA,1726949318
316,bikenibeu village,1.3673,173.1241,301.11,69,4,5.31,KI,1726949319
317,langzhong,31.5504,105.9938,296.02,67,80,1.74,CN,1726949320
318,kotra,25.8167,79.3167,302.63,67,20,0.63,IN,1726949321
319,australind,-33.2667,115.7167,281.22,89,0,2.87,AU,1726949323
320,mandalgovi,45.7625,106.2708,280.07,56,84,3.24,MN,1726949324
321,porto novo,6.4965,2.6036,297.55,92,96,3.01,BJ,1726949325
322,tolanaro,-25.0319,46.9987,296.19,88,20,9.77,MG,1726949164
323,langarud,37.197,50.1535,293.9,91,89,0.71,IR,1726949327
324,moulins,46.5,3.3333,291.6,65,100,2.3,FR,1726949328
325,hermanus,-34.4187,19.2345,288.04,79,65,8.85,ZA,1726949329
326,jiazi,22.8779,116.067,299.92,85,61,2.14,CN,1726949331
327,quatre cocos,-20.2078,57.7625,296.21,82,30,5.61,MU,1726949332
328,fuyang,32.9,115.8167,287.15,78,3,3.1,CN,1726949333
329,ryotsu-minato,38.0833,138.4333,294.57,97,100,4.07,JP,1726949334
330,morales,2.757,-76.6172,293.97,75,100,2.67,CO,1726949335
331,yeppoon,-23.1333,150.7333,290.75,36,3,2.15,AU,1726949336
332,puerto deseado,-47.7503,-65.8938,283.48,45,100,3.25,AR,1726949155
333,longford,53.7333,-7.8,285.21,90,66,2.87,IE,1726949338
334,santa ana de yacuma,-13.75,-65.4333,311.12,37,20,5.14,BO,1726949339
335,el bayadh,33.6832,1.0193,292.29,70,100,3.74,DZ,1726949340
336,banska stiavnica,48.4486,18.91,283.09,60,0,1.65,SK,1726949342
337,sisimiut,66.9395,-53.6735,281.02,57,42,2.24,GL,1726949343
338,port isabel,26.0734,-97.2086,306.17,70,0,6.69,US,1726949160
339,iquique,-20.2208,-70.1431,288.55,85,40,2.25,CL,1726949211
340,kingsbridge,50.2845,-3.7764,290.71,94,45,3.76,GB,1726949346
341,khovd,48.0056,91.6419,283.33,57,8,4.36,MN,1726949347
342,badiyah,22.45,58.8,302.58,50,0,2.47,OM,1726949348
343,general roca,-39.0333,-67.5833,292.49,27,71,11.85,AR,1726949234
344,harstad,68.799,16.5293,279.35,96,100,8.94,NO,1726949352
345,jiangyou,31.7667,104.7167,295.69,74,53,1.66,CN,1726949353
346,mil'kovo,55.6078,37.7956,289.88,60,0,4.88,RU,1726949354
347,kristiansund,63.1115,7.732,282.66,76,75,5.66,NO,1726949355
348,wynyard,-41.0,145.7167,284.16,81,100,6.59,AU,1726949356
349,labytnangi,66.6572,66.4183,277.2,88,86,3.79,RU,1726949357
350,naze,28.3667,129.4833,299.9,89,100,7.21,JP,1726949360
351,ikovka,55.6089,64.9375,284.05,80,96,3.8,RU,1726949361
352,fenoarivo atsinanana,-17.3667,49.4167,293.77,81,29,0.72,MG,1726949362
353,yreka,41.7354,-122.6345,299.53,18,0,1.54,US,1726949209
354,vadso,70.0744,29.7487,276.24,81,40,5.14,NO,1726949364
355,kenai,60.5544,-151.2583,282.6,54,0,4.12,US,1726949365
356,marsa alam,25.0757,34.8918,304.65,47,0,4.58,EG,1726949366
357,sequeira,40.5536,-7.2259,285.93,83,7,1.71,PT,1726949367
358,at taj,24.2049,23.2857,306.16,19,0,4.66,LY,1726949368
359,madridejos,39.4682,-3.532,293.78,49,97,4.27,ES,1726949370
360,"las vegas, santa barbara",36.175,-115.1372,306.08,22,0,2.06,US,1726949225
